topic|year|exam|exercise|statement
enlace_quimico|2000|Junio|Ejercicio 3 Opción A|"a) Escriba la estructura de Lewis para las moléculas NF, y CF,. b) Dibuje la geometría de
cada molécula según la teoría de Repulsión de Pares de Electrones de la Capa de Valencia.
c) Considerando las geometrías moleculares, razone acerca de la polaridad de ambas
moléculas.
Números atómicos: C = 6; N =7; F =9."
enlace_quimico|2000|Junio|Ejercicio 5 Opción B|"a) Haga un esquema del ciclo de Born-Haber para el NaCIl .
b) Calcule la energía reticular del NaCI (s), a partir de los siguientes datos:
Entalpía de sublimación del sodio = 108 kJ/mol
Entalpía de disociación del cloro = 243?2 kJ/mol
Entalpía de ionización del sodio = 4957 kJ/mol
Afinidad electrónica del cloro = —348 kJ / mol
Entalpía de formación del cloruro de sodio = —401'8 kJ / mol"
enlace_quimico|2000|Reserva 1|Ejercicio 2 Opción B|"a) Escriba las estructuras de Lewis correspondientes a las moléculas de etano (CH,CH,) y
eteno (CH, = CH,)
b) Explique qué tipo de hibridación tiene el carbono en cada compuesto."
enlace_quimico|2000|Reserva 2|Ejercicio 2 Opción B|"Los elementos A, B, C y D pertenecen al mismo periodo y tienen 1, 3, 5 y 7 electrones de
valencia, respectivamente. Indique, razonando la respuesta: a) Qué elemento tiene la energía de
ionización más alta y cuál la más baja. b) Qué fórmulas tendrán los compuestos A-D y B-D.
€) Si el compuesto formado por C y D será iónico o covalente."
enlace_quimico|2000|Reserva 3|Ejercicio 2 Opción B|"Dadas las especies químicas H,S y PH,:
a) Represéntelas mediante diagramas de Lewis
b) Prediga la geometría de las especies anteriores según la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
ce) Indique la hibridación que presenta el átomo central en cada especie."
enlace_quimico|2000|Septiembre|Ejercicio 2 Opcion A|"La tabla que sigue corresponde a los puntos de fusión de distintos sólidos iónicos:
Compuesto NaF NaCl | NaBr | Nal
Punto de fusión (*C) 980 801 755 651
Considerando los valores anteriores: a) Indique cómo variará la energía reticular en este grupo
de compuestos. b) Razone cuál es la causa de esa variacióp."
enlace_quimico|2000|Junio|Ejercicio 3 Opción A|"a) Escriba la estructura de Lewis para las moléculas NF, y CF,. b) Dibuje la geometría de
cada molécula según la teoría de Repulsión de Pares de Electrones de la Capa de Valencia.
c) Considerando las geometrías moleculares, razone acerca de la polaridad de ambas
moléculas.
Números atómicos: C = 6; N =7; F =9."
enlace_quimico|2000|Junio|Ejercicio 5 Opción B|"a) Haga un esquema del ciclo de Born-Haber para el NaCIl .
b) Calcule la energía reticular del NaCI (s), a partir de los siguientes datos:
Entalpía de sublimación del sodio = 108 kJ/mol
Entalpía de disociación del cloro = 243?2 kJ/mol
Entalpía de ionización del sodio = 4957 kJ/mol
Afinidad electrónica del cloro = —348 kJ / mol
Entalpía de formación del cloruro de sodio = —401'8 kJ / mol"
enlace_quimico|2000|Reserva 1|Ejercicio 2 Opción B|"a) Escriba las estructuras de Lewis correspondientes a las moléculas de etano (CH,CH,) y
eteno (CH, = CH,)
b) Explique qué tipo de hibridación tiene el carbono en cada compuesto."
enlace_quimico|2000|Reserva 2|Ejercicio 2 Opción B|"Los elementos A, B, C y D pertenecen al mismo periodo y tienen 1, 3, 5 y 7 electrones de
valencia, respectivamente. Indique, razonando la respuesta: a) Qué elemento tiene la energía de
ionización más alta y cuál la más baja. b) Qué fórmulas tendrán los compuestos A-D y B-D.
€) Si el compuesto formado por C y D será iónico o covalente."
enlace_quimico|2000|Reserva 3|Ejercicio 2 Opción B|"Dadas las especies químicas H,S y PH,:
a) Represéntelas mediante diagramas de Lewis
b) Prediga la geometría de las especies anteriores según la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
ce) Indique la hibridación que presenta el átomo central en cada especie."
enlace_quimico|2000|Septiembre|Ejercicio 2 Opcion A|"La tabla que sigue corresponde a los puntos de fusión de distintos sólidos iónicos:
Compuesto NaF NaCl | NaBr | Nal
Punto de fusión (*C) 980 801 755 651
Considerando los valores anteriores: a) Indique cómo variará la energía reticular en este grupo
de compuestos. b) Razone cuál es la causa de esa variacióp."
enlace_quimico|2001|Junio|Ejercicio 2 Opción B|"Dados los siguientes compuestos: CaF,, CO,, H,O. a) Indique el tipo de enlace predominante
en cada uno de ellos. b) Ordene los compuestos anteriores de menor a mayor punto de
ebu!lición. Justifique las respuestas. ."
enlace_quimico|2001|Reserva 1|Ejercicio 3 Opción B|"Cuatro elementos se designan arbitrariamente como A, B, C y D. Sus electronegatividades se
muestran en la tabla siguiente:
Elemento A B Cc
Electronegatividad | 370 | 28 | 25 | 21
Si se forman las moléculas AB, AC, AD y BD: a) Clasifíquelas en orden creciente por su
carácter covalente. Justifique la respuesta. b) ¿Cuál será la molécula más polar? Justifique la
respuesta."
enlace_quimico|2001|Reserva 2|Ejercicio 2 Opcion A|"Dadas las siguientes moléculas: CCI,, BF, y PCI, a) Represente sus estructuras de Lewis.
b) Prediga la geometría de cada una de ellas según la Teoría de Repulsión de Pares de
Electrones de la Capa de Valencia. c) Indique la polaridad de cada una de las moléculas."
enlace_quimico|2001|Reserva 4|Ejercicio 2 Opción B|"En función del tipo de enlace explique por qué: a) El NH, tiene un punto de ebullición más alto
que el CH, . b) El KCI tiene un punto de fusión mayor que el Cl,. c) El CH, es insoluble en
agua y el KCl es soluble."
enlace_quimico|2001|Septiembre|Ejercicio 2 Opción B|"Dadas las siguientes moléculas: SiH,, NH; y BeH,. a) Represente sus estructuras de Lewis.
b) Prediga la geometría de cada una de ellas según la Teoría de Repulsión de Pares de
Electrones de la Capa de Valencia. c) Indique la hibridación del átomo central."
enlace_quimico|2001|Junio|Ejercicio 2 Opción B|"Dados los siguientes compuestos: CaF,, CO,, H,O. a) Indique el tipo de enlace predominante
en cada uno de ellos. b) Ordene los compuestos anteriores de menor a mayor punto de
ebu!lición. Justifique las respuestas. ."
enlace_quimico|2001|Reserva 1|Ejercicio 3 Opción B|"Cuatro elementos se designan arbitrariamente como A, B, C y D. Sus electronegatividades se
muestran en la tabla siguiente:
Elemento A B Cc
Electronegatividad | 370 | 28 | 25 | 21
Si se forman las moléculas AB, AC, AD y BD: a) Clasifíquelas en orden creciente por su
carácter covalente. Justifique la respuesta. b) ¿Cuál será la molécula más polar? Justifique la
respuesta."
enlace_quimico|2001|Reserva 2|Ejercicio 2 Opcion A|"Dadas las siguientes moléculas: CCI,, BF, y PCI, a) Represente sus estructuras de Lewis.
b) Prediga la geometría de cada una de ellas según la Teoría de Repulsión de Pares de
Electrones de la Capa de Valencia. c) Indique la polaridad de cada una de las moléculas."
enlace_quimico|2001|Reserva 4|Ejercicio 2 Opción B|"En función del tipo de enlace explique por qué: a) El NH, tiene un punto de ebullición más alto
que el CH, . b) El KCI tiene un punto de fusión mayor que el Cl,. c) El CH, es insoluble en
agua y el KCl es soluble."
enlace_quimico|2001|Septiembre|Ejercicio 2 Opción B|"Dadas las siguientes moléculas: SiH,, NH; y BeH,. a) Represente sus estructuras de Lewis.
b) Prediga la geometría de cada una de ellas según la Teoría de Repulsión de Pares de
Electrones de la Capa de Valencia. c) Indique la hibridación del átomo central."
enlace_quimico|2002|Reserva 1|Ejercicio 5 Opción A|"a) Represente el ciclo de Born-Haber para el fluoruro de litio.
b) Calcule el valor de la energía reticular del fluoruro de litio sabiendo:
Entalpía de formación del [LiF(s)] = — 5941 kJ/mol
Energía de sublimación del litio = 1552 kJ/mol
Energía de disociación del F, = 150%6 kJ/mol
Energía de ionización del litio = 5200 kJ/mol
Afinidad electrónica del flúor = — 3330 kJ/mol."
enlace_quimico|2002|Reserva 1|Ejercicio 3 Opción B|"Dadas las sustancias PCI; y CH,:
a) Represente sus estructuras de Lewis.
b) Prediga la geometría de las moléculas anteriores según la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
c) Indique la hibridación que presenta el átomo central en cada caso."
enlace_quimico|2002|Reserva 2|Ejercicio 2 Opcion A|"Explique, en función del tipo de enlace que presentan, las siguientes afirmaciones:
a) El cloruro de sodio es soluble en agua.
b) El hierro es conductor de la electricidad.
€) El metano tiene bajo punto de fusión."
enlace_quimico|2002|Reserva 3|Ejercicio 2 Opción B|"Dadas las sustancias: NH, y H,O.
a) Represente sus estructuras de Lewis.
b) Prediga la geometría de las moléculas anteriores mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
c) Indique la hibridación del átomo central en cada caso."
enlace_quimico|2002|Reserva 4|Ejercicio 3 Opción B|"a) ¿Cuál es la geometría de la molécula BCI, ?
b) ¿Es una molécula polar?
) ¿Es soluble en agua?
Justifique las respuestas."
enlace_quimico|2002|Septiembre|Ejercicio 2 Opción A|"a) ¿Por qué el H, y el I, no son solubles en agua y el HI sí lo es?
b) ¿Por qué la molécula BF, es apolar, aunque sus enlaces estén polarizados?"
enlace_quimico|2002|Reserva 1|Ejercicio 5 Opción A|"a) Represente el ciclo de Born-Haber para el fluoruro de litio.
b) Calcule el valor de la energía reticular del fluoruro de litio sabiendo:
Entalpía de formación del [LiF(s)] = — 5941 kJ/mol
Energía de sublimación del litio = 1552 kJ/mol
Energía de disociación del F, = 150%6 kJ/mol
Energía de ionización del litio = 5200 kJ/mol
Afinidad electrónica del flúor = — 3330 kJ/mol."
enlace_quimico|2002|Reserva 1|Ejercicio 3 Opción B|"Dadas las sustancias PCI; y CH,:
a) Represente sus estructuras de Lewis.
b) Prediga la geometría de las moléculas anteriores según la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
c) Indique la hibridación que presenta el átomo central en cada caso."
enlace_quimico|2002|Reserva 2|Ejercicio 2 Opcion A|"Explique, en función del tipo de enlace que presentan, las siguientes afirmaciones:
a) El cloruro de sodio es soluble en agua.
b) El hierro es conductor de la electricidad.
€) El metano tiene bajo punto de fusión."
enlace_quimico|2002|Reserva 3|Ejercicio 2 Opción B|"Dadas las sustancias: NH, y H,O.
a) Represente sus estructuras de Lewis.
b) Prediga la geometría de las moléculas anteriores mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
c) Indique la hibridación del átomo central en cada caso."
enlace_quimico|2002|Reserva 4|Ejercicio 3 Opción B|"a) ¿Cuál es la geometría de la molécula BCI, ?
b) ¿Es una molécula polar?
) ¿Es soluble en agua?
Justifique las respuestas."
enlace_quimico|2002|Septiembre|Ejercicio 2 Opción A|"a) ¿Por qué el H, y el I, no son solubles en agua y el HI sí lo es?
b) ¿Por qué la molécula BF, es apolar, aunque sus enlaces estén polarizados?"
enlace_quimico|2003|Junio|Ejercicio 3 Opción B|"Justifique las siguientes afirmaciones:
a) A 25"" C y 1 atm, el agua es un líquido y el sulfuro de hidrógeno es un gas.
b) El etanol es soluble en agua y el etano no lo es.
c) En condiciones normales el flúor y el cloro son gases, el bromo es líquido y el yodo es sólido."
enlace_quimico|2003|Reserva 1|Ejercicio 3 Opción B|"a) Represente la estructura de Lewis de la molécula NF, .
b) Prediga la geometría de esta molécula según la teoría de Repulsión de Pares de Electrones de
la Capa de Valencia.
c) Justifique si la molécula de NF, es polar o apolar."
enlace_quimico|2003|Reserva 2|Ejercicio 2 Opcion A|"Razone la veracidad o falsedad de las siguientes afirmaciones:
a) Los metales son buenos conductores de la electricidad.
b) Todos los compuestos de carbono presentan hibridación sp”.
€) Los compuestos iónicos conducen la corriente eléctriga en estado sólido."
enlace_quimico|2003|Reserva 3|Ejercicio 2 Opción B|"Para las moléculas BCl, y NH, , indique:
a) El número de pares de electrones sin compartir de cada átomo central.
b) La hibridación del átomo central.
c) La geometría de cada molécula según la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia."
enlace_quimico|2003|Reserva 4|Ejercicio 2 Opción A|"Dadas las especies químicas H,S, PH, y CCI, , indique:
a) La estructura de Lewis de cada molécula.
b) La geometría de cada molécula según la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia.
e) La hibridación que presenta el átomo central de cada una de ellas."
enlace_quimico|2003|Junio|Ejercicio 3 Opción B|"Justifique las siguientes afirmaciones:
a) A 25"" C y 1 atm, el agua es un líquido y el sulfuro de hidrógeno es un gas.
b) El etanol es soluble en agua y el etano no lo es.
c) En condiciones normales el flúor y el cloro son gases, el bromo es líquido y el yodo es sólido."
enlace_quimico|2003|Reserva 1|Ejercicio 3 Opción B|"a) Represente la estructura de Lewis de la molécula NF, .
b) Prediga la geometría de esta molécula según la teoría de Repulsión de Pares de Electrones de
la Capa de Valencia.
c) Justifique si la molécula de NF, es polar o apolar."
enlace_quimico|2003|Reserva 2|Ejercicio 2 Opcion A|"Razone la veracidad o falsedad de las siguientes afirmaciones:
a) Los metales son buenos conductores de la electricidad.
b) Todos los compuestos de carbono presentan hibridación sp”.
€) Los compuestos iónicos conducen la corriente eléctriga en estado sólido."
enlace_quimico|2003|Reserva 3|Ejercicio 2 Opción B|"Para las moléculas BCl, y NH, , indique:
a) El número de pares de electrones sin compartir de cada átomo central.
b) La hibridación del átomo central.
c) La geometría de cada molécula según la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia."
enlace_quimico|2003|Reserva 4|Ejercicio 2 Opción A|"Dadas las especies químicas H,S, PH, y CCI, , indique:
a) La estructura de Lewis de cada molécula.
b) La geometría de cada molécula según la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia.
e) La hibridación que presenta el átomo central de cada una de ellas."
enlace_quimico|2004|Junio|Ejercicio 2 Opción B|"En los siguientes compuestos: BCl ,SiF, y BeCl, .
a) Justifique la geometría de estas moléculas mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
b) ¿Qué orbitales híbridos presenta el átomo central?."
enlace_quimico|2004|Reserva 1|Ejercicio 3 Opción B|"1s”2s”2p”? y 1s2s”2p 3s” 3pi
a) Explique la posible existencia de las moléculas: AB, B, y AB,.
b) Justifique la geometría de la molécula AB,.
c) Discuta la existencia o no de momento dipolar en AB,."
enlace_quimico|2004|Reserva 2|Ejercicio 2 Opción B|"Comente, razonadamente, la conductividad eléctrica de los siguientes sistemas:
a) Un hilo de cobre.
b) Un cristal de Cu(NO,), .
c) Una disolución de Cu(NO;), ."
enlace_quimico|2004|Reserva 3|Ejercicio 3 Opción B|"a) Represéntelas mediante estructuras de Lewis.
b) Justifique su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia."
enlace_quimico|2004|Reserva 4|Ejercicio 2 Opcion A|"a) Escriba el ciclo de Born-Haber para el KCI.
b) ¿póm0 explica el hecho de que los metales sean conductores de la electricidad?"
enlace_quimico|2004|Junio|Ejercicio 2 Opción B|"En los siguientes compuestos: BCl ,SiF, y BeCl, .
a) Justifique la geometría de estas moléculas mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
b) ¿Qué orbitales híbridos presenta el átomo central?."
enlace_quimico|2004|Reserva 1|Ejercicio 3 Opción B|"1s”2s”2p”? y 1s2s”2p 3s” 3pi
a) Explique la posible existencia de las moléculas: AB, B, y AB,.
b) Justifique la geometría de la molécula AB,.
c) Discuta la existencia o no de momento dipolar en AB,."
enlace_quimico|2004|Reserva 2|Ejercicio 2 Opción B|"Comente, razonadamente, la conductividad eléctrica de los siguientes sistemas:
a) Un hilo de cobre.
b) Un cristal de Cu(NO,), .
c) Una disolución de Cu(NO;), ."
enlace_quimico|2004|Reserva 3|Ejercicio 3 Opción B|"a) Represéntelas mediante estructuras de Lewis.
b) Justifique su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia."
enlace_quimico|2004|Reserva 4|Ejercicio 2 Opcion A|"a) Escriba el ciclo de Born-Haber para el KCI.
b) ¿póm0 explica el hecho de que los metales sean conductores de la electricidad?"
enlace_quimico|2005|Junio|Ejercicio 2 Opción B|"Dadas las especies químicas Cl, , HCI y CCI,:
a) Indique el tipo de enlace que existirá en cada una.
b) Justifique si los enlaces están polarizados.
c) Razone si dichas moléculas serán polares o apolares."
enlace_quimico|2005|Reserva 1|Ejercicio 2 Opción A|"Teniendo en cuenta la energía reticular de los compuestos iónicos, conteste razonadamente:
a) ¿Cuál de los siguientes compuestos tendrá mayor dureza: LiF o KBr?
b) ¿Cuál de los siguientes compuestos será más soluble en agua: MgO o CaS?"
enlace_quimico|2005|Reserva 3|Ejercicio 3 Opción B|"Dadas las moléculas CF, y NH;:
a) Represéntelas mediante estructuras de Lewis.
b) Justifique su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia.
c) Indique la hibridación del átomo central."
enlace_quimico|2005|Reserva 4|Ejercicio 2 Opción B|"Dadas las siguientes especies químicas: CH ,OH, CH ,y NH; a) Indique el tipo de enlace que
existe dentro de cada una. b) Ordénelas, justificando la respuesta, de menor a mayor punto de
fusión. c) Razone si serán solubles en agua. ."
enlace_quimico|2005|Junio|Ejercicio 2 Opción B|"Dadas las especies químicas Cl, , HCI y CCI,:
a) Indique el tipo de enlace que existirá en cada una.
b) Justifique si los enlaces están polarizados.
c) Razone si dichas moléculas serán polares o apolares."
enlace_quimico|2005|Reserva 1|Ejercicio 2 Opción A|"Teniendo en cuenta la energía reticular de los compuestos iónicos, conteste razonadamente:
a) ¿Cuál de los siguientes compuestos tendrá mayor dureza: LiF o KBr?
b) ¿Cuál de los siguientes compuestos será más soluble en agua: MgO o CaS?"
enlace_quimico|2005|Reserva 3|Ejercicio 3 Opción B|"Dadas las moléculas CF, y NH;:
a) Represéntelas mediante estructuras de Lewis.
b) Justifique su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia.
c) Indique la hibridación del átomo central."
enlace_quimico|2005|Reserva 4|Ejercicio 2 Opción B|"Dadas las siguientes especies químicas: CH ,OH, CH ,y NH; a) Indique el tipo de enlace que
existe dentro de cada una. b) Ordénelas, justificando la respuesta, de menor a mayor punto de
fusión. c) Razone si serán solubles en agua. ."
enlace_quimico|2006|Junio|Ejercicio 2 Opción A|"Dadas las moléculas de BCI, y H,O
a) Deduzca la geometría de cada una mediante la teoría de Repulsión de Pares de Electrones de
la Capa de Valencia.
b) Justifique la polaridad de las mismas. ."
enlace_quimico|2006|Reserva 1|Ejercicio 3 Opción B|"a) ¿Qué se entiende por energía reticular?
b) Represente el ciclo de Born-Haber para el bromuro de sodio.
C) Exprese la entalpía de formación (AHf) del bromuro de sodio en función de las siguientes
variables: la energía de ionización (I) y el calor de sublimación (S) del sodio, la energía de
disociación (D) y la afinidad electrónica (AE) del bromo y la energía reticular (U) del bromuro
de sodio."
enlace_quimico|2006|Reserva 2|Ejercicio 2 Opción A|"Para las moléculas BCl , , NH; y BeH, , indique:
a) El número de pares de electrones sin compartir de cada átomo.
b) La geometría de cada molécula utilizando la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia.
e) La hibridación del átomo central."
enlace_quimico|2006|Reserva 3|Ejercicio 3 Opción B|"Supongamos que los sólidos cristalinos CsBr, NaBr y KBr cristalizan con el mismo tipo de red.
a) Ordénelos de mayor a menor según su energía reticular. Razone la respuesta.
b) Justifique cuál de ellos será menos soluble. ."
enlace_quimico|2006|Septiembre|Ejercicio 2 Opción B|"Dadas las moléculas BF, y PF,:
a) ¿Son polares los enlaces boro-flúor y fósforo-flúor?. Razone la respuesta.
b) Prediga su geometría a partir de la teoría de Repulsión de Pares de Electrones de la Capa de
Valencia.
c) ¿Son polares esas moléculas?. Justifique su respuesta."
enlace_quimico|2006|Junio|Ejercicio 2 Opción A|"Dadas las moléculas de BCI, y H,O
a) Deduzca la geometría de cada una mediante la teoría de Repulsión de Pares de Electrones de
la Capa de Valencia.
b) Justifique la polaridad de las mismas. ."
enlace_quimico|2006|Reserva 1|Ejercicio 3 Opción B|"a) ¿Qué se entiende por energía reticular?
b) Represente el ciclo de Born-Haber para el bromuro de sodio.
C) Exprese la entalpía de formación (AHf) del bromuro de sodio en función de las siguientes
variables: la energía de ionización (I) y el calor de sublimación (S) del sodio, la energía de
disociación (D) y la afinidad electrónica (AE) del bromo y la energía reticular (U) del bromuro
de sodio."
