subject,topic,year,exam,exercise,statement
quimica,solubilidad,2018,Reserva 1,Ejercicio 6 Opción A,"Basándose en las reacciones químicas correspondientes, calcule la solubilidad del CaSO .
a) En agua pura.
b) En una disolución 0,50 M de sulfato de sodio ( Na ,SO ,).
Datos: K ,(CaSO ,)=9,1-10-""
QUÍMICA. 2018. RESERVA 1. EJERCICIO 6. OPCIÓN A"
quimica,solubilidad,2018,Reserva 2,Ejercicio 3 Opción A,"El hidróxido de calcio, Ca(OH),, es poco soluble en agua. Se dispone de una disolución
saturada en equilibrio con su sólido. Razone si la masa del sólido en esa disolución aumenta,
disminuye o no se altera al añadir:
a) Agua.
b) Disolución de NaOH.
ce) Disolución de HCI.
QUÍMICA. 2018. RESERVA 2. EJERCICIO 3. OPCIÓN A"
quimica,solubilidad,2018,Reserva 4,Ejercicio 6 Opción A,"Basándose en las reacciones químicas correspondientes, calcule la concentración de ion
fluoruro:
a) En una disolución saturada de fluoruro de calcio (CaF ,).
b) Si la disolución es además 0,2 M en cloruro de calcio (CaCl ,). Dato: K ¿(CaF,)=3,9-10 _
QUÍMICA. 2018. RESERVA 4. EJERCICIO 6. OPCIÓN A"
quimica,solubilidad,2018,Septiembre,Ejercicio 3 Opción B,"Indique, razonadamente, si son ciertas o falsas las siguientes afirmaciones:
a) Se puede aumentar la solubilidad del AgCI añadiendo HCI a la disolución.
b) El producto de solubilidad de una sal es independiente de la concentración inicial de la sal
que se disuelve.
e) La solubilidad de una sal tiene un valor único.
QUIÍMICA. 2018. SEPTIEMBRE. EJERCICIO 3. OPCIÓN B"
quimica,solubilidad,2019,Junio,Ejercicio 6 Opción A,"El PbCO; es una sal muy poco soluble en agua con un K, de 1'5-10-5, Calcule, basándose
en las reacciones químicas correspondientes:
a) La solubilidad de la sal.
b) Si se mezclan 150 mL de una disolución de Pb(NO ,), de concentración 0?04 M con 50 mL
de una disolución de Na ,CO ; de concentración 0%01 M, razone si precipitará PbCO;.
QUÍMICA. 2019. JUNIO. EJERCICIO 6. OPCIÓN A"
quimica,solubilidad,2019,Reserva 1,Ejercicio 3 Opción A,"Indique, razonadamente, si para aumentar la solubilidad del PbCI, en agua habría que:
a) Añadir más agua.
b) Añadir HCI.
c) Aumentar la temperatura.
QUÍMICA. 2019. RESERVA 1. EJERCICIO 3. OPCIÓN A"
quimica,solubilidad,2019,Reserva 2,Ejercicio 3 Opción B,"Se dispone de una disolución acuosa saturada de Fe(OH); , compuesto poco soluble.
a) Escriba la ecuación del equilibrio y la expresión del producto de solubilidad.
b) Deduzca la expresión que permite calcular su solubilidad a partir de K,.
€) Razone cómo varía su solubilidad al aumentar el pH de la disolución.
QUÍMICA. 2019. RESERVA 2. EJERCICIO 3. OPCIÓN B"
quimica,solubilidad,2019,Reserva 3,Ejercicio 6 Opción A,"En diversos países la fluoración del agua de consumo humano es utilizada para prevenir la
caries.
a) Si el producto de solubilidad, K., del CaF, es 10 , calcule basándose en las reacciones
correspondientes la solubilidad de CaF,.
b) ¿Qué cantidad de NaF hay que añadir a 1 L de una disolución que contiene 20mg-L-' de
Ca?* para que empiece a precipitar CaF,?
Datos: masas atómicas relativas F =19 ; Na=23 ; Ca=40.
QUÍMICA. 2019. RESERVA 3. EJERCICIO 6. OPCIÓN A"
quimica,solubilidad,2019,Reserva 4,Ejercicio 5 Opción B,"El producto de solubilidad a 25 *C del MgF, es de 8-10*. Basándose en las reacciones
correspondientes:
a) ¿Cuántos gramos de MgF, se pueden disolver en 250 mL de agua?
b) ¿Cuántos gramos de MgF, se disolverán en 250 mL de una disolución de concentración
0,1M de Mg(NO,),?
Datos: masas atómicas relativas Mg = 24'3 ; F =19.
QUÍMICA. 2019. RESERVA 4. EJERCICIO 5. OPCIÓN B"
quimica,solubilidad,2020,Junio,C2,"a) Calcule la solubilidad del fluoruro de calcio, CaF,, en agua pura.
b) Calcule la solubilidad del fluoruro de calcio, CaF,, en una disolución de fluoruro de sodio,
NaF', 0?2 M.
Dato: K, (CaF,)=3'5-10-""
QUÍMICA. 2020. JUNIO. C2"
quimica,solubilidad,2020,Reserva 1,Ejercicio C2,"Si el producto de solubilidad del yoduro de plata, Agl, 1'5-10-""* a 25*C
a) Calcule la concentración, en g/L, de iones Ag* de la disolución saturada, basándose en el
equilibrio correspondiente.
b) ¿Se formará precipitado de Agl si se mezclan 10 mL de Nal de concentración 1-10-” M y
30 mL de AgNO; de concentración 4-1077 M?
Datos: Masa atómica relativa: Ag =108.
QUÍMICA. 2020. RESERVA 1. EJERCICIO C2"
quimica,solubilidad,2020,Reserva 2,Ejercicio Bs,"Sabiendo que el valor de K, del Mg(OH), a 25%C es 1'2-10-"".
a) Exprese el valor de K_ en función de la solubilidad.
b) Razone cómo afectará a su solubilidad en agua la adición de MgF, a la disolución.
c) Justifique cómo afectará a su solubilidad un aumento de pH.
QUIMICA. 2020. RESERVA 2. EJERCICIO BS"
quimica,solubilidad,2020,Reserva 2,Ejercicio C2,"a) Sabiendo que en 200 mL de una disolución saturada de SrF, hay disueltos 146 mg de dicha
sal, calcule su producto de solubilidad.
b) Determine justificadamente, si se forma precipitado de PbI, al mezclar 50 mL de una
disolución de KI de concentración 1'2-10-* M con 30 mL de otra disolución de Pb(NO ,), de
concentración 3-1073 M.
Datos: K (PbI,)=7'9- 107 ; Masas atómicas relativas: Sr = 87'6 ; F =19.
QUÍMICA. 2020. RESERVA 2. EJERCICIO C2"
quimica,solubilidad,2020,Reserva 3,Ejercicio C2,"Sabiendo que el producto de solubilidad del difluoruro de plomo, PbF,, a 25*C es 3'6-10*.
Determine:
a) La masa de PbF, que se puede disolver en 100 mL de agua.
b) La masa de PbF, que se puede disolver en 100 mL de una disolución de Pb(NO,), de
concentración 0702 M.
Masas atómicas: F =19 ; Pb = 207
QUÍMICA. 2020. RESERVA 3. EJERCICIO C2"
quimica,solubilidad,2020,Reserva 4,Ejercicio C2,"A 20%C la solubilidad del hidróxido de plata, AgOH , en agua pura es 0'015 g/ L. Calcule:
a) El producto de solubilidad a 20%C.
b) La solubilidad del hidróxido de plata a esa temperatura en una disolución de pH =12.
Masas atómicas: Ag =108 ; O=16; H=1.
QUÍMICA. 2020. RESERVA 4. EJERCICIO C2"
quimica,solubilidad,2020,Septiembre,B5,"Disponemos en un recipiente de una disolución saturada de CaF,(aq) en equilibrio con
CaF,(s), depositado en el fondo. Explique qué sucederá si se añade:
a) Agua.
b) Fluoruro de calcio, CaF,(s).
c) Fluoruro de sodio, NaF(s).
QUÍMICA. 2020. SEPTIEMBRE. B5"
quimica,solubilidad,2020,Septiembre,C4,"a) Se mezclan 100 mL de una disolución de nitrato de talio (TINO 3) 4-10-* M con 300 mL
de otra disolución de cloruro de sodio (NaCI) 8-10-* M. Sabiendo que el producto de
solubilidad del cloruro de talio (TICI) es 1'9-10 -*, deduzca si precipitará dicha sal en estas
condiciones.
b) Calcule la solubilidad del Mg(OH), en agua pura, sabiendo que su producto de solubilidad
es 3'4-10-*.
QUIMICA. 2020. SEPTIEMBRE. C4"
quimica,solubilidad,2021,Julio,Ejercicio C2,"A 25""C el producto de solubilidad del sulfuro de níquel(I) es 3'2-10-”. Calcule:
a) La solubilidad del NiS en mol/L y en g/L
b) La solubilidad del NiS en una disolución 0%05 M de Na,S.
Datos: Masas atómicas relativas: Ni=58'7 ; S=32
QUÍMICA. 2021. JULIO. EJERCICIO C2"
quimica,solubilidad,2021,Junio,Ejercicio C2,"Una disolución saturada d yoduro de plomo(II) ( PbI,) en agua tiene una concentración de
0'56 g-L'. Calcule:
a) El producto de solubilidad, K., del yoduro de plomo(ID).
b) La solubilidad del PbI,, a la misma temperatura, en una disolución 0%5 M de yoduro de
potasio (KI).
Masas atómicas: I =127 ; Pb = 207
QUÍMICA. 2021. JUNIO. EJERCICIO C2"
quimica,solubilidad,2021,Reserva 1,Ejercicio C4,"Se disuelve hidróxido de cadmio, Ca(OH),, en agua hasta obtener una disolución saturada a una
temperatura dada. Sabiendo que la concentración de iones OH”- es 3'68-1075 M, calcule:
a) La solubilidad del hidróxido de cadmio y el valor de la constante del producto de solubilidad del
compuesto a esta temperatura.
b) Si a 100 mL de la disolución anterior se le añaden 0”5 g de NaOH, ¿cuál será la concentración
molar de iones Cd?* en la disolución?
Datos: Masas atómicas: Na =23 ; H=1; 0=16
QUÍMICA. 2021. RESERVA 1. EJERCICIO C4"
quimica,solubilidad,2021,Reserva 2,Ejercicio C2,"La solubilidad del cromato de plata (Ag,CrO,) en agua a 25*C es 0'0435 g/L.
a) Escriba el equilibrio de solubilidad en agua del cromato de plata y calcule el producto de
solubilidad de la sal a 25”C.
b) Calcule si se formará precipitado cuando se mezclan 20 mL de cromato de sodio (Na,CrO,)
0708 M con 30 mL de nitrato de plata (AgNO,;) 5-107* M. Considere los volúmenes aditivos.
Masas atómicas relativas: Ag = 1078; Cr = 52; O = 16.
QUIÍMICA. 2021. RESERVA 2. EJERCICIO C2"
quimica,solubilidad,2021,Reserva 3,Ejercicio B5,"Justifique si las siguientes afirmaciones son verdaderas o falsas:
a) Para una disolución saturada de hidróxido de aluminio, AI(OH),, se cumple que:
K, =[A1*""]-[0H-]
b) En una disolución saturada de fluoruro de bario, BaF,, se cumple que: [Baº*] = 2[F “] .
) El producto de solubilidad (Ks) del MgF, disminuye al añadir Mg(NO;), a una disolución
de MgF,.
QUÍMICA. 2021. RESERVA 3. EJERCICIO B5"
quimica,solubilidad,2021,Reserva 3,Ejercicio C2,"La solubilidad del carbonato de plata, Ag,CO,, a 25*C es 0'0318 g-L'.
a) Calcule la concentración molar de ion plata en una disolución saturada de carbonato de
plata a 25*C.
b) Calcule la constante del producto de solubilidad del carbonato de plata a 25*C.
Masas atómicas relativas: Ag = 1078; C =12; O = 16.
QUIÍMICA. 2021. RESERVA 3. EJERCICIO C2"
quimica,solubilidad,2021,Reserva 4,Ejercicio B6,"Se prepara una disolución de Fe(OH) , en agua, quedando en el fondo del recipiente una parte
de sólido sin disolver. Justifique cómo afecta a la solubilidad del compuesto:
a) La adición de FeCl ,.
b) Un aumento del pH.
c) La adición de agua.
QUIMICA. 2021. RESERVA 4. EJERCICIO B6"
quimica,solubilidad,2021,Reserva 4,Ejercicio C2,"a) Calcule las concentraciones de Hg;* y de Cl7 en una disolución saturada de Hg,Cl,.
b) Justifique si se formará precipitado cuando a 25 mL de una disolución 0%01 M de
Hg,(NO;), se le añaden 5 mL de HCI 07002 M.
Dato: K, (Hg,CI,)=1'2:10-.
QUÍMICA. 2021. RESERVA 4. EJERCICIO C2"
quimica,solubilidad,2022,Julio,Ejercicio C2,"a) Sabiendo que en 200 mL de una disolución saturada de SrF, hay disueltos 146 mg de dicha
sal, calcule su producto de solubilidad.
b) Determine justificadamente, si se forma precipitado de PbI, al mezclar 50 mL de una
disolución de KI de concentración 1'2-10-* M con 30 mL de otra disolución de Pb(NO ,), de
concentración 3-1073 M.
Datos: K (PbI,)=7'9- 107 ; Masas atómicas relativas: Sr = 87'6 ; F =19.
QUÍMICA. 2022. JULIO. EJERCICIO C2"
quimica,solubilidad,2022,Junio,Ejercicio B6,"El hidróxido de cobre(ID), Cu(OH),,es una sal muy poco soluble en agua.
a) Escriba su equilibrio de solubilidad.
b) Exprese K, en función de la solubilidad.
c) Razone cómo afectará al equilibrio la adición de NaOH.
QUÍMICA. 2022. JUNIO. EJERCICIO B6"
quimica,solubilidad,2022,Junio,C2,"La solubilidad del BaF, en agua es 1'30 g-L'. Calcule:
a) El producto de solubilidad de la sal.
b) La solubilidad del BaF, en una disolución de concentración 1 M de BaCl,, considerando
que esta última sal está totalmente disociada.
Datos: Masas atómicas relativas: Ba=137'3 ; F =19
QUÍMICA. 2022. JUNIO. C2"
quimica,solubilidad,2022,Reserva 1,Ejercicio B5,"Dadas las siguientes especies con sus productos de solubilidad, Fe(OH)3(Ks =1'1—10'“) y
Ag,PO,(K,=1'56-10-"")
a) Escriba los equilibrios de disociación de cada una.
b) Determine la expresión del producto de solubilidad en función de la solubilidad para cada
una de las dos especies.
c) Razone cuál es más soluble en agua.
QUÍMICA. 2022. RESERVA 1. EJERCICIO B5"
quimica,solubilidad,2022,Reserva 1,Ejercicio C2,"A 25""%C, la constante de solubilidad del AgCI es 1'7-10-, calcule:
a) La solubilidad en mg/L del AgCl en agua.
b) La solubilidad en mg/L del AgCl en una disolución acuosa que tiene una concentración de
ion cloruro de 0”10M.
Masas atómicas relativas: Ag =1079; C1=35""5
QUIÍMICA. 2022. RESERVA 1. EJERCICIO C2"
quimica,solubilidad,2022,Reserva 2,Ejercicio C2,"A 25""C, el producto de solubilidad del hidróxido de aluminio, AI(OH);, es 2-10-%. Calcule:
a) La solubilidad molar del compuesto en agua.
b) La cantidad, en gramos, de Al**.que hay en un mililitro de disolución saturada del
compuesto.
Dato: Masa atómica relativa: Al=27.
QUIMICA. 2022. RESERVA 2. EJERCICIO C2"
quimica,solubilidad,2022,Reserva 3,Ejercicio C2,"a) La solubilidad del hidróxido de cobre(II), Cu(OH),, en agua pura es de 3'42-107M.
Calcule su producto de solubilidad.
b) Justifique numéricamente si se formará precipitado Cu(OH), al adicionar 2 g de CuCl, a
250 mL de una disolución que tiene inicialmente pH =13.
Datos: Masas atómicas relativas: Cu = 63'5 ; Cl =35'5.
QUÍMICA. 2022. RESERVA 3. EJERCICIO C2"
quimica,solubilidad,2022,Reserva 4,Ejercicio C4,"a) En 200 mL de una disolución saturada de hidróxido de calcio, Ca(OH),, hay disueltos 07296
g. Calcule su producto de solubilidad.
b) Determine si se formará precipitado de Ca(OH), al adicionar 1'25-10-* moles de ion Ca?*
a 100 mL de una disolución de pH =11.
Datos: Masas atómicas relativas: Ca=40 ; 0=16; H=1.
QUÍMICA. 2022. RESERVA 4. EJERCICIO C4"
quimica,solubilidad,2024,Junio,C2,"Para preparar 250 mL de disolución saturada de BaF, a 25*C se necesitan 325 mg de dicho
compuesto.
a) A partir del equilibrio correspondiente, calcule el producto de solubilidad del BaF,.
b) Calcule la solubilidad molar del BaF, en presencia de NaF 0750 M.
Datos: Masas atómicas relativas: Ba =137'3; F =19
QUÍMICA. 2024. JUNIO. C2"
quimica,solubilidad,2025,Julio,Ejercicio 2B,"La K ; del Ca(OH), a25""C es 5-10-5
a) A partir del equilibrio correspondiente, escriba la expresión del producto de solubilidad en
función de la solubilidad molar.
b) Razone si la solubilidad del Ca(OH), en agua aumentará al añadir CaCl ,.
c) Justifique si se producirá precipitado de Ca(OH) , en una disolución a 25 *C en la que
[Ca?*]=10-""M y [0H-]=10?M
d) Razono cómo varía la solubilidad al disminuir el pH de una disolución de Ca(OH) ,
QUÍMICA. 2025. JULIO. EJERCICIO 2B"
