Año,Convocatoria,Tipo de ejercicio
2000,Junio Opción A,cálculo del area de un recinto
2000,Reserva 1 Opción A,cálculo del area de un recinto
2000,Reserva 1 Opción B,cálculo del area de un recinto
2000,Reserva 2 Opción A,cálculo de un parámetro
2000,Reserva 2 Opción B,cálculo de un parámetro
2000,Reserva 3 Opción A,integrales por partes
2000,Reserva 3 Opción B,cálculo del area de un recinto
2000,Reserva 4 Opción A,teorema fundamental del cálculo
2000,Reserva 4 Opción B,cálculo del area de un recinto
2000,Septiembre Opción A,integrales por partes
2000,Septiembre Opción B,integrales racionales
2001,Junio Opción A,integrales por partes
2001,Junio Opción B,cálculo del area de un recinto
2001,Reserva 1 Opción A,cálculo de un parámetro
2001,Reserva 1 Opción B,cálculo del area de un recinto
2001,Reserva 2 Opción B,cálculo de un parámetro
2001,Reserva 2 Opción A,cálculo del area de un recinto
2001,Reserva 3 Opción B,cálculo del area de un recinto
2001,Reserva 4 Opción A,cálculo de un parámetro
2001,Reserva 4 Opción B,cálculo del area de un recinto
2001,Septiembre Opción B,cálculo del area de un recinto
2001,Septiembre Opción A,cálculo del area de un recinto
2002,Junio Opción A,cálculo de un parámetro
2002,Junio Opción B,cálculo del area de un recinto
2002,Reserva 1 Opción A,integrales de cambio de variable
2002,Reserva 1 Opción B,integrales racionales
2002,Reserva 2 Opción A,cálculo de un parámetro
2002,Reserva 2 Opción B,cálculo del area de un recinto
2002,Reserva 3 Opción B,cálculo del area de un recinto
2002,Reserva 4 Opción A,integrales racionales
2002,Septiembre Opción A,teorema fundamental del cálculo
2002,Septiembre Opción B,integrales racionales
2003,Junio Opción A,integrales por partes
2003,Junio Opción B,cálculo del area de un recinto
2003,Junio Ejercicio 2 Opción A,cálculo de un parámetro
2003,Reserva 1 Opción A,cálculo del area de un recinto
2003,Reserva 1 Opción B,cálculo del area de un recinto
2003,Reserva 2 Opción B,cálculo de un parámetro
2003,Reserva 2 Opción A,cálculo del area de un recinto
2003,Reserva 3 Opción A,cálculo de un parámetro
2003,Reserva 3 Opción B,cálculo de un parámetro
2003,Reserva 4 Opción B,cálculo del area de un recinto
2003,Reserva 4 Opción A,cálculo de un parámetro
2003,Septiembre Opción B,integrales por partes
2003,Septiembre Opción A,cálculo del area de un recinto
2004,Junio Opción A,integrales racionales
2004,Junio Opción B,cálculo de un parámetro
2004,Reserva 1 Opción A,integrales racionales
2004,Reserva 1 Opción B,integrales por partes
2004,Reserva 2 Opción A,integrales de cambio de variable
2004,Reserva 2 Opción B,cálculo del area de un recinto
2004,Reserva 3 Opción A,cálculo del area de un recinto
2004,Reserva 3 Opción B,cálculo de un parámetro
2004,Reserva 4 Opción A,cálculo del area de un recinto
2004,Reserva 4 Opción B,cálculo del area de un recinto
2004,Septiembre Opción A,cálculo del area de un recinto
2004,Septiembre Opción B,cálculo del area de un recinto
2005,Junio Opción A,cálculo del area de un recinto
2005,Junio Opción B,cálculo del area de un recinto
2005,Reserva 1 Opción A,integrales racionales
2005,Reserva 1 Opción B,cálculo de un parámetro
2005,Reserva 2 Opción A,cálculo del area de un recinto
2005,Reserva 2 Opción B,integrales por partes
2005,Reserva 3 Opción A,cálculo de un parámetro
2005,Reserva 3 Opción B,integrales por partes
2005,Reserva 4 Opción A,cálculo del area de un recinto
2005,Reserva 4 Opción B,integrales por partes
2005,Septiembre Opción A,cálculo del area de un recinto
2005,Septiembre Opción B,integrales de cambio de variable
2006,Junio Opción A,integrales de cambio de variable
2006,Junio Opción B,cálculo de un parámetro
2006,Reserva 1 Opción A,cálculo del area de un recinto
2006,Reserva 1 Opción B,cálculo del area de un recinto
2006,Reserva 2 Opción A Ejercicio 1,cálculo de un parámetro
2006,Reserva 2 Opción A Ejercicio 2,integrales por partes
2006,Reserva 2 Opción B,cálculo del area de un recinto
2006,Reserva 3 Opción A,cálculo de un parámetro
2006,Reserva 3 Opción B,cálculo de un parámetro
2006,Reserva 4 Opción A,integrales por partes
2006,Reserva 4 Opción B,cálculo del area de un recinto
2006,Septiembre Opción A,integrales racionales
2007,Junio Opción A,cálculo del area de un recinto
2007,Junio Opción B,integrales por partes
2007,Reserva 1 Opción A,cálculo del area de un recinto
2007,Reserva 1 Opción B,cálculo del area de un recinto
2007,Reserva 2 Opción A,integrales de cambio de variable
2007,Reserva 2 Opción B,cálculo de un parámetro
2007,Reserva 3 Opción A,cálculo de un parámetro
2007,Reserva 3 Opción B,integrales por partes
2007,Reserva 4 Opción A,cálculo de un parámetro
2007,Reserva 4 Opción B,cálculo del area de un recinto
2007,Septiembre Opción A,cálculo del area de un recinto
2007,Septiembre Opción B,cálculo del area de un recinto
2008,Junio Opción A,integrales racionales
2008,Junio Opción B,cálculo del area de un recinto
2008,Reserva 1 Opción B Ejercicio 1,cálculo de un parámetro
2008,Reserva 1 Opción A,cálculo del area de un recinto
2008,Reserva 1 Opción B Ejercicio 2,cálculo del area de un recinto
2008,Reserva 2 Opción A,cálculo del area de un recinto
2008,Reserva 2 Opción B,integrales por partes
2008,Reserva 3 Opción B,cálculo del area de un recinto
2008,Reserva 3 Opción A,cálculo de un parámetro
2008,Reserva 3 Opción B Ejercicio 2,integrales por partes
2008,Reserva 4 Opción A,integrales de cambio de variable
2008,Reserva 4 Opción B,cálculo del area de un recinto
2008,Septiembre Opción A,cálculo del area de un recinto
2008,Septiembre Opción B,cálculo del area de un recinto
2009,Junio Opción A,cálculo del area de un recinto
2009,Junio Opción B,cálculo del area de un recinto
2009,Reserva 1 Opción A,cálculo del area de un recinto
2009,Reserva 1 Opción B,cálculo de un parámetro
2009,Reserva 2 Opción A,cálculo del area de un recinto
2009,Reserva 2 Opción B,cálculo del area de un recinto
2009,Reserva 3 Opción A,integrales por partes
2009,Reserva 3 Opción B,cálculo del area de un recinto
2009,Reserva 4 Opción A,cálculo del area de un recinto
2009,Reserva 4 Opción B,cálculo de un parámetro
2009,Septiembre Opción A,cálculo del area de un recinto
2009,Septiembre Opción B,integrales de cambio de variable
Año,Convocatoria,Tipo de ejercicio
2010,Junio Opción A,integrales de cambio de variable
2010,Junio Opción B,cálculo del area de un recinto
2010,Reserva 1 Opción A,cálculo del area de un recinto
2010,Reserva 1 Opción B,cálculo del area de un recinto
2010,Reserva 2 Opción A,integrales por partes
2010,Reserva 2 Opción B,cálculo de un parámetro
2010,Reserva 3 Opción A,cálculo del area de un recinto
2010,Reserva 3 Opción B,cálculo del area de un recinto
2010,Reserva 4 Opción A,integrales racionales
2010,Reserva 4 Opción B,cálculo del area de un recinto
2010,Septiembre Opción A,integrales de cambio de variable
2010,Septiembre Opción B,cálculo del area de un recinto
2011,Junio Opción A,cálculo del area de un recinto
2011,Junio Opción B,integrales de cambio de variable
2011,Reserva 1 Opción A,cálculo de un parámetro
2011,Reserva 1 Opción B,integrales racionales
2011,Reserva 2 Opción A,cálculo de un parámetro
2011,Reserva 2 Opción B,integrales por partes
2011,Reserva 3 Opción A,cálculo del area de un recinto
2011,Reserva 3 Opción B,integrales por partes
2011,Reserva 4 Opción A,cálculo de un parámetro
2011,Reserva 4 Opción B,cálculo del area de un recinto
2011,Septiembre Opción A,cálculo del area de un recinto
2011,Septiembre Opción B,cálculo del area de un recinto
2012,Junio Opción A,teorema fundamental del cálculo
2012,Junio Opción B,cálculo de un parámetro
2012,Reserva 1 Opción A,cálculo del area de un recinto
2012,Reserva 1 Opción B,integrales por partes
2012,Reserva 2 Opción A,cálculo del area de un recinto
2012,Reserva 2 Opción B,cálculo del area de un recinto
2012,Reserva 3 Opción A,cálculo del area de un recinto
2012,Reserva 3 Opción B,cálculo de un parámetro
2012,Reserva 4 Opción A,integrales por partes
2012,Reserva 4 Opción B,cálculo del area de un recinto
2012,Septiembre Opción A,integrales de cambio de variable
2012,Septiembre Opción B,cálculo del area de un recinto
2013,Junio Opción A,cálculo del area de un recinto
2013,Junio Opción B,integrales por partes
2013,Reserva 1 Opción A,cálculo de un parámetro
2013,Reserva 1 Opción B,integrales racionales
2013,Reserva 2 Opción A,integrales de cambio de variable
2013,Reserva 2 Opción B,cálculo del area de un recinto
2013,Reserva 3 Opción A,integrales de cambio de variable
2013,Reserva 3 Opción B,integrales por partes
2013,Reserva 4 Opción A,cálculo del area de un recinto
2013,Reserva 4 Opción B,integrales de cambio de variable
2013,Septiembre Opción A,integrales por partes
2013,Septiembre Opción B,cálculo del area de un recinto
2014,Junio Opción A,cálculo del area de un recinto
2014,Junio Opción B,integrales por partes
2014,Reserva 1 Opción A,cálculo de un parámetro
2014,Reserva 1 Opción B,cálculo del area de un recinto
2014,Reserva 2 Opción A,integrales por partes
2014,Reserva 2 Opción B,cálculo del area de un recinto
2014,Reserva 3 Opción A,cálculo del area de un recinto
2014,Reserva 3 Opción B,integrales racionales
2014,Reserva 4 Opción A,integrales de cambio de variable
2014,Reserva 4 Opción B,integrales por partes cíclicas
2014,Septiembre Opción A,integrales racionales
2014,Septiembre Opción B,integrales por partes
2015,Junio Opción A,integrales racionales
2015,Junio Opción B,integrales por partes
2015,Reserva 1 Opción A,integrales de cambio de variable
2015,Reserva 1 Opción B,cálculo de un parámetro
2015,Reserva 2 Opción A,cálculo del area de un recinto
2015,Reserva 2 Opción B,integrales por partes cíclicas
2015,Reserva 3 Opción A,integrales de cambio de variable
2015,Reserva 3 Opción B,cálculo del area de un recinto
2015,Reserva 4 Opción A,cálculo de un parámetro
2015,Reserva 4 Opción B,integrales racionales
2015,Septiembre Opción A,integrales por partes
2015,Septiembre Opción B,cálculo del area de un recinto
2016,Junio Opción A,integrales racionales
2016,Junio Opción B,cálculo del area de un recinto
2016,Reserva 1 Opción A,integrales de cambio de variable
2016,Reserva 1 Opción B,cálculo del area de un recinto
2016,Reserva 2 Opción A,cálculo de un parámetro
2016,Reserva 2 Opción B,cálculo del area de un recinto
2016,Reserva 3 Opción A,cálculo de un parámetro
2016,Reserva 3 Opción B,cálculo de un parámetro
2016,Reserva 4 Opción A,integrales de cambio de variable
2016,Reserva 4 Opción B,cálculo de un parámetro
2016,Septiembre Opción A,cálculo de un parámetro
2016,Septiembre Opción B,integrales de cambio de variable
2017,Junio Opción A,cálculo del area de un recinto
2017,Junio Opción B,integrales de cambio de variable
2017,Reserva 1 Opción A,cálculo del area de un recinto
2017,Reserva 1 Opción B,integrales por partes
2017,Reserva 2 Opción A,integrales por partes
2017,Reserva 2 Opción B,integrales de cambio de variable
2017,Reserva 3 Opción A,integrales de cambio de variable
2017,Reserva 3 Opción B,cálculo del area de un recinto
2017,Reserva 4 Opción A,integrales de cambio de variable
2017,Reserva 4 Opción B,integrales racionales
2017,Septiembre Opción A,integrales por partes
2017,Septiembre Opción B,cálculo del area de un recinto
2018,Junio Opción A,cálculo del area de un recinto
2018,Junio Opción B,cálculo del area de un recinto
2018,Reserva 1 Opción A,cálculo del area de un recinto
2018,Reserva 1 Opción B,cálculo del area de un recinto
2018,Reserva 2 Opción A,cálculo de un parámetro
2018,Reserva 2 Opción B,integrales por partes
2018,Reserva 3 Opción A,cálculo de un parámetro
2018,Reserva 3 Opción B,integrales de cambio de variable
2018,Reserva 4 Opción A,cálculo del area de un recinto
2018,Reserva 4 Opción B,integrales racionales
2018,Septiembre Opción A,cálculo de un parámetro
2018,Septiembre Opción B,cálculo del area de un recinto
2019,Junio Opción A,integrales de cambio de variable
2019,Junio Opción B,cálculo del area de un recinto
2019,Reserva 1 Opción A,integrales por partes
2019,Reserva 1 Opción B,cálculo del area de un recinto
2019,Reserva 2 Opción A,integrales racionales
2019,Reserva 2 Opción B,cálculo del area de un recinto
2019,Reserva 3 Opción A,cálculo de un parámetro
2019,Reserva 3 Opción B,teorema fundamental del cálculo
2019,Reserva 4 Opción A,cálculo del area de un recinto
2019,Reserva 4 Opción B,cálculo de un parámetro
2019,Septiembre Opción A,integrales por partes
2019,Septiembre Opción B,cálculo de un parámetro
2020,Junio Ejercicio 2,cálculo de un parámetro
2020,Junio Ejercicio 6,integrales racionales
2020,Reserva 1 Ejercicio 2,integrales racionales
2020,Reserva 1 Ejercicio 6,integrales de cambio de variable
2020,Reserva 2 Ejercicio 2,integrales por partes
2020,Reserva 2 Ejercicio 6,cálculo del area de un recinto
2020,Reserva 3 Ejercicio 2,integrales por partes
2020,Reserva 3 Ejercicio 6,cálculo de un parámetro
2020,Reserva 4 Ejercicio 2,integrales de cambio de variable
2020,Reserva 4 Ejercicio 6,integrales por partes cíclicas
2020,Septiembre Ejercicio 2,integrales por partes
2020,Septiembre Ejercicio 6,cálculo del area de un recinto
2021,Junio Ejercicio 3,cálculo del area de un recinto
2021,Junio Ejercicio 4,teorema fundamental del cálculo
2021,Reserva 1 Ejercicio 3,cálculo del area de un recinto
2021,Reserva 1 Ejercicio 4,cálculo del area de un recinto
2021,Reserva 2 Ejercicio 3,cálculo del area de un recinto
2021,Reserva 2 Ejercicio 4,cálculo del area de un recinto
2021,Reserva 3 Ejercicio 3,cálculo del area de un recinto
2021,Reserva 3 Ejercicio 4,integrales de cambio de variable
2021,Reserva 4 Ejercicio 3,cálculo del area de un recinto
2021,Reserva 4 Ejercicio 4,cálculo del area de un recinto
2021,Julio Ejercicio 3,teorema fundamental del cálculo
2021,Julio Ejercicio 4,integrales racionales
2022,Junio Ejercicio 3,cálculo del area de un recinto
2022,Junio Ejercicio 4,integrales racionales
2022,Reserva 1 Ejercicio 3,integrales por partes cíclicas
2022,Reserva 1 Ejercicio 4,cálculo del area de un recinto
2022,Reserva 2 Ejercicio 3,teorema fundamental del cálculo
2022,Reserva 2 Ejercicio 4,integrales por partes
2022,Reserva 3 Ejercicio 3,cálculo del area de un recinto
2022,Reserva 3 Ejercicio 4,integrales de cambio de variable
2022,Reserva 4 Ejercicio 3,integrales racionales
2022,Reserva 4 Ejercicio 4,cálculo de un parámetro
2022,Julio Ejercicio 3,integrales de cambio de variable
2022,Julio Ejercicio 4,cálculo del area de un recinto
2023,Junio Ejercicio 3,cálculo del area de un recinto
2023,Junio Ejercicio 4,teorema fundamental del cálculo
2023,Reserva 1 Ejercicio 3,integrales racionales
2023,Reserva 1 Ejercicio 4,cálculo del area de un recinto
2023,Reserva 2 Ejercicio 3,cálculo del area de un recinto
2023,Reserva 2 Ejercicio 4,integrales de cambio de variable
2023,Reserva 3 Ejercicio 3,integrales por partes
2023,Reserva 3 Ejercicio 4,cálculo del area de un recinto
2023,Reserva 4 Ejercicio 3,integrales de cambio de variable
2023,Reserva 4 Ejercicio 4,cálculo del area de un recinto
2023,Julio Ejercicio 3,cálculo de un parámetro
2023,Julio Ejercicio 4,cálculo del area de un recinto
2024,Junio Ejercicio 3,integrales racionales
2024,Junio Ejercicio 4,integrales por partes
2024,Reserva 1 Ejercicio 3,integrales racionales
2024,Reserva 1 Ejercicio 4,integrales por partes
2024,Julio Ejercicio 3,cálculo del area de un recinto
2024,Julio Ejercicio 4,integrales por partes cíclicas
2025,Junio Ejercicio 6,integrales por partes
2025,Reserva 1 Ejercicio 2,cálculo de un parámetro
2025,Reserva 1 Ejercicio 3,cálculo del area de un recinto
2025,Reserva 2 Ejercicio 2,integrales de cambio de variable
2025,Reserva 2 Ejercicio 3,cálculo del area de un recinto
2025,Reserva 3 Ejercicio 1,integrales racionales
2025,Reserva 4 Ejercicio 6,cálculo del area de un recinto
2025,Julio Ejercicio 2,integrales racionales
2025,Julio Ejercicio 3,cálculo de un parámetro
